Exercise,Video_File,Frame_Number,Side_Used,Elbow_Angle,Shoulder_Angle,Hip_Angle,Knee_Angle,Form_Label,Form
Bicep_curls,Camo Recording 2026-03-21 19-42-19.mov.mov,48,RIGHT,144.53,3.2,172.69,169.98,1,Good
Bicep_curls,Camo Recording 2026-03-21 19-42-19.mov.mov,49,RIGHT,142.59,3.19,174.64,173.24,1,Good
Bicep_curls,Camo Recording 2026-03-21 19-42-19.mov.mov,50,RIGHT,101.67,3.48,176.24,172.39,1,Good
Bicep_curls,Camo Recording 2026-03-21 19-42-19.mov.mov,51,RIGHT,96.48,3.39,177.03,172.58,1,Good
Bicep_curls,Camo Recording 2026-03-21 19-42-19.mov.mov,55,RIGHT,65.89,3.55,179.8,175.13,1,Good
Bicep_curls,Camo Recording 2026-03-21 19-42-19.mov.mov,56,RIGHT,51.85,1.34,179.41,175.7,1,Good
Bicep_curls,Camo Recording 2026-03-21 19-42-19.mov.mov,57,RIGHT,49.34,1.55,179.05,176.19,1,Good
Bicep_curls,Camo Recording 2026-03-21 19-42-19.mov.mov,61,RIGHT,39.03,2.12,179.55,176.72,1,Good
Bicep_curls,IMG_5374.MOV,4,LEFT,89.8,10.17,179.21,175.97,1,Good
Bicep_curls,IMG_5374.MOV,5,LEFT,90.57,8.23,179.03,177.06,1,Good
Bicep_curls,IMG_5374.MOV,6,LEFT,95.1,6.44,178.85,175.7,1,Good
Bicep_curls,IMG_5374.MOV,18,LEFT,87.66,5.22,178.93,177.02,1,Good
Bicep_curls,IMG_5374.MOV,19,LEFT,85.24,6.71,178.65,177.17,1,Good
Bicep_curls,IMG_5374.MOV,31,LEFT,80.2,0.37,179.85,177.42,1,Good
Bicep_curls,IMG_5374.MOV,90,LEFT,72.72,15.03,179.03,177.32,1,Good
Bicep_curls,IMG_5374.MOV,112,LEFT,81.23,7.62,178.18,177.95,1,Good
Bicep_curls,IMG_5374.MOV,148,LEFT,98.77,8.08,178.5,175.97,1,Good
Bicep_curls,IMG_5374.MOV,153,LEFT,101.36,8.58,177.73,176.31,1,Good
Bicep_curls,IMG_5374.MOV,193,LEFT,110.17,2.76,176.01,177.79,1,Good
Bicep_curls,IMG_5374.MOV,234,LEFT,128.35,3.33,174.41,175.0,1,Good
Bicep_curls,IMG_5374.MOV,297,LEFT,147.06,3.54,173.23,177.37,1,Good
Bicep_curls,IMG_5374.MOV,349,LEFT,140.63,3.06,174.72,177.97,1,Good
Bicep_curls,IMG_5374.MOV,352,LEFT,136.64,1.57,174.0,179.59,1,Good
Bicep_curls,IMG_5374.MOV,354,LEFT,133.42,0.07,174.28,179.42,1,Good
Bicep_curls,IMG_5374.MOV,355,LEFT,131.76,0.8,174.23,179.47,1,Good
Bicep_curls,IMG_5374.MOV,357,LEFT,128.94,2.18,173.89,179.68,1,Good
Bicep_curls,IMG_5374.MOV,360,LEFT,124.48,3.51,173.79,179.72,1,Good
Bicep_curls,IMG_5374.MOV,440,LEFT,91.46,3.14,172.62,178.09,1,Good
Bicep_curls,IMG_5374.MOV,472,LEFT,82.67,4.41,176.43,177.84,1,Good
Bicep_curls,IMG_5374.MOV,557,LEFT,86.45,4.84,177.54,174.21,1,Good
Bicep_curls,IMG_5374.MOV,723,LEFT,134.69,1.84,169.0,179.17,1,Good
Bicep_curls,IMG_5374.MOV,735,LEFT,123.32,5.22,170.31,179.08,1,Good
Bicep_curls,IMG_5374.MOV,741,LEFT,118.38,6.39,170.64,178.78,1,Good
Bicep_curls,IMG_5374.MOV,742,LEFT,116.71,7.06,170.53,178.58,1,Good
Bicep_curls,IMG_5374.MOV,785,LEFT,94.27,2.37,175.14,178.47,1,Good
Bicep_curls,IMG_5374.MOV,799,LEFT,83.78,2.43,175.81,177.5,1,Good
Bicep_curls,IMG_5374.MOV,872,LEFT,83.35,0.74,179.4,175.64,1,Good
Bicep_curls,IMG_5374.MOV,883,LEFT,93.06,0.25,178.06,177.31,1,Good
Bicep_curls,IMG_5374.MOV,884,LEFT,95.27,1.24,178.32,177.38,1,Good
Bicep_curls,IMG_5374.MOV,887,LEFT,99.65,3.0,178.74,177.37,1,Good
Bicep_curls,IMG_5374.MOV,921,LEFT,116.9,1.41,174.58,176.12,1,Good
Bicep_curls,IMG_5374.MOV,935,LEFT,124.01,1.1,173.02,176.33,1,Good
