Frame,Exercise,Elbow_Angle,Shoulder_Angle,Hip_Angle,Knee_Angle,Trunk_Inclination,Rep_Tracking_Angle,Rep_Stage,Form,ML_Prediction,Confidence_Pct,Reps,Issues,Form_Score,ROM_Score,Stability_Score,Symmetry_Score,Tempo_Score,Posture_Score,Stability,Symmetry,Smoothness
1,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
2,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
3,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
4,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
5,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
6,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
7,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
8,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
9,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
10,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
11,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
12,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
13,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
14,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
15,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
16,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
17,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
18,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
19,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
20,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
21,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
22,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
23,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
24,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
25,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
26,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
27,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
28,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
29,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
30,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
31,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
32,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
33,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
34,Bench_Press,,,,,,0.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
