Frame,Exercise,Elbow_Angle,Shoulder_Angle,Hip_Angle,Knee_Angle,Form,ML_Prediction,Confidence_Pct,Reps,Issues
22,Bicep_curls,146.7,67.9,8.9,34.8,Bad,Bad,98.5,0,Upper arm swinging — using momentum; Leaning back — using body swing; Knees bending — unstable base
23,Bicep_curls,158.4,140.9,13.5,101.1,Bad,Bad,98.0,0,Upper arm swinging — using momentum; Leaning back — using body swing; Knees bending — unstable base
24,Bicep_curls,168.0,147.2,47.3,17.7,Bad,Bad,94.0,0,Incomplete elbow range of motion; Upper arm swinging — using momentum; Leaning back — using body swing; Knees bending — unstable base
25,Bicep_curls,131.4,23.5,113.9,38.7,Bad,Bad,89.2,0,Leaning back — using body swing; Knees bending — unstable base
26,Bicep_curls,179.1,0.1,96.4,40.6,Bad,Bad,88.8,0,Incomplete elbow range of motion; Leaning back — using body swing; Knees bending — unstable base
27,Bicep_curls,174.3,0.7,176.6,25.0,Bad,Bad,86.6,0,Incomplete elbow range of motion; Knees bending — unstable base
28,Bicep_curls,165.2,3.4,176.7,20.4,Bad,Bad,87.7,0,Incomplete elbow range of motion; Knees bending — unstable base
57,Bicep_curls,167.5,1.8,179.5,175.2,Bad,Bad,84.3,0,Incomplete elbow range of motion
58,Bicep_curls,167.2,3.6,179.4,175.1,Bad,Bad,78.7,0,Incomplete elbow range of motion
59,Bicep_curls,166.3,4.4,179.7,176.7,Bad,Bad,75.2,0,Incomplete elbow range of motion
60,Bicep_curls,165.4,5.1,179.4,177.0,Bad,Bad,73.4,0,Incomplete elbow range of motion
61,Bicep_curls,164.2,6.7,180.0,175.9,Bad,Bad,73.7,0,Incomplete elbow range of motion
62,Bicep_curls,163.6,8.2,180.0,174.9,Bad,Bad,73.4,0,Incomplete elbow range of motion
63,Bicep_curls,163.8,8.7,178.4,175.6,Bad,Bad,73.9,0,Incomplete elbow range of motion
64,Bicep_curls,164.4,8.3,177.9,175.7,Bad,Bad,72.6,0,Incomplete elbow range of motion
65,Bicep_curls,164.9,7.8,176.9,177.7,Bad,Bad,76.0,0,Incomplete elbow range of motion
