Frame,Exercise,Elbow_Angle,Shoulder_Angle,Hip_Angle,Knee_Angle,Trunk_Inclination,Form,ML_Prediction,Confidence_Pct,Reps,Issues,Form_Score,ROM_Score,Stability_Score,Symmetry_Score,Tempo_Score,Posture_Score,Stability,Symmetry,Smoothness
180,Bicep_curls,150.64,166.52,20.79,165.21,,Bad,Bad,99.3,0,Upper arm swinging — using momentum; Leaning back — using body swing; Shoulder swing detected — isolate the biceps.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,97.0,100.0,100.0,100.0,100.0,70.0,100.0,100.0,100.0
181,Bicep_curls,121.54,129.95,91.9,142.4,,Bad,Bad,94.6,0,Upper arm swinging — using momentum; Leaning back — using body swing; Knees bending — unstable base; Shoulder swing detected — isolate the biceps.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,80.8,56.9,100.0,100.0,100.0,59.0,100.0,100.0,100.0
182,Bicep_curls,145.12,150.02,19.71,167.72,,Bad,Bad,94.6,0,Upper arm swinging — using momentum; Leaning back — using body swing; Shoulder swing detected — isolate the biceps.; Elbow drifting forward — keep elbows pinned.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,62.0,57.8,0.0,100.0,100.0,67.3,0.0,100.0,100.0
185,Bicep_curls,147.83,110.57,77.28,149.8,,Bad,Bad,94.2,0,Upper arm swinging — using momentum; Leaning back — using body swing; Knees bending — unstable base; Shoulder swing detected — isolate the biceps.; Elbow drifting forward — keep elbows pinned.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,60.9,57.8,0.0,100.0,100.0,56.3,0.0,100.0,0.0
186,Bicep_curls,147.54,121.37,62.82,159.81,,Bad,Bad,94.0,0,Upper arm swinging — using momentum; Leaning back — using body swing; Shoulder swing detected — isolate the biceps.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,62.2,57.8,0.0,100.0,100.0,70.0,0.0,100.0,0.0
187,Bicep_curls,140.3,110.09,117.82,153.16,,Bad,Bad,93.9,0,Upper arm swinging — using momentum; Leaning back — using body swing; Knees bending — unstable base; Shoulder swing detected — isolate the biceps.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,68.4,78.5,0.0,100.0,100.0,59.0,0.0,100.0,0.0
858,Bicep_curls,143.73,27.34,82.02,165.31,,Bad,Bad,93.8,0,Leaning back — using body swing; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,70.8,78.5,0.0,100.0,100.0,83.7,0.0,100.0,0.0
859,Bicep_curls,142.6,31.33,68.79,118.19,,Bad,Bad,94.2,0,Leaning back — using body swing; Knees bending — unstable base; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,69.7,78.5,0.0,100.0,100.0,72.7,0.0,100.0,0.0
860,Bicep_curls,171.28,25.56,162.13,105.36,,Bad,Bad,92.5,0,Incomplete elbow range of motion; Knees bending — unstable base; Elbow drifting forward — keep elbows pinned.; Partial range of motion — curl deeper.,77.3,100.0,0.0,100.0,100.0,72.7,0.0,100.0,0.0
861,Bicep_curls,165.82,20.55,126.28,47.68,,Bad,Bad,90.7,0,Incomplete elbow range of motion; Leaning back — using body swing; Knees bending — unstable base; Elbow drifting forward — keep elbows pinned.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,75.9,100.0,0.0,100.0,100.0,59.0,0.0,100.0,0.0
863,Bicep_curls,115.26,25.08,115.37,107.41,,Bad,Bad,90.3,0,Leaning back — using body swing; Knees bending — unstable base; Elbow drifting forward — keep elbows pinned.; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,77.0,100.0,0.0,100.0,100.0,70.0,0.0,100.0,0.0
864,Bicep_curls,116.26,17.43,89.64,74.65,,Bad,Bad,90.6,0,Leaning back — using body swing; Knees bending — unstable base; Partial range of motion — curl deeper.; Torso leaning — reduce momentum.,77.3,100.0,0.0,100.0,100.0,72.7,0.0,100.0,0.0
