Frame,Exercise,Elbow_Angle,Shoulder_Angle,Hip_Angle,Knee_Angle,Trunk_Inclination,Rep_Tracking_Angle,Rep_Stage,Form,ML_Prediction,Confidence_Pct,Reps,Issues,Form_Score,ROM_Score,Stability_Score,Symmetry_Score,Tempo_Score,Posture_Score,Stability,Symmetry,Smoothness
1,Pushups,,,,,,177.8,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
2,Pushups,,,,,,177.4,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
3,Pushups,,,,,,177.4,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
4,Pushups,,,,,,176.5,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
5,Pushups,,,,,,176.4,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
6,Pushups,,,,,,175.9,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
7,Pushups,,,,,,175.9,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
8,Pushups,,,,,,175.9,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
9,Pushups,,,,,,176.2,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
10,Pushups,,,,,,175.8,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
11,Pushups,,,,,,175.2,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
12,Pushups,,,,,,173.9,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
13,Pushups,,,,,,172.4,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
14,Pushups,,,,,,171.4,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
15,Pushups,,,,,,170.4,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
16,Pushups,,,,,,170.1,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
17,Pushups,,,,,,170.7,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
18,Pushups,,,,,,170.9,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
19,Pushups,,,,,,170.0,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
20,Pushups,,,,,,168.5,up,Good,Good,50.0,0,,96.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0
21,Pushups,158.01,15.88,177.47,102.11,,164.0,up,Bad,Good,97.3,0,Shoulders flaring or collapsing; Knees bent — not in full plank; Insufficient depth — chest not low enough.; Hip sag detected — maintain straight plank line.,97.0,100.0,100.0,100.0,100.0,70.3,100.0,100.0,100.0
22,Pushups,161.61,46.01,162.7,112.2,,163.9,up,Bad,Good,97.7,0,Knees bent — not in full plank; Insufficient depth — chest not low enough.; Hip sag detected — maintain straight plank line.,71.7,11.8,100.0,100.0,100.0,81.3,100.0,100.0,100.0
23,Pushups,147.8,54.01,161.71,119.31,,165.0,up,Bad,Good,98.2,0,Knees bent — not in full plank; Insufficient depth — chest not low enough.; Hip sag detected — maintain straight plank line.,47.3,13.8,0.0,100.0,100.0,81.3,0.0,100.0,100.0
24,Pushups,147.14,63.75,171.14,152.4,,164.5,up,Bad,Good,98.5,0,Knees bent — not in full plank; Insufficient depth — chest not low enough.; Hip sag detected — maintain straight plank line.,55.2,40.2,0.0,100.0,100.0,81.3,0.0,100.0,0.0
